FileName,ExtractedText,Misogyny,Objectification,Prejudice,Humiliation
861_M_pic_12.jpg,haldi wala doodh turmeric latte,1,1,1,0
2171_M_pic_12.jpg,७OKA BOLO QDOUDDO,1,1,1,0
313_NM_pic.jpg,Kuch Mahino baad ye bhi Maa ban jayegi! Taimur AdiManavxD Arre Ho Jao Papiyo....Chup Ho Jao Chup,0,0,0,0
1458_M_pic_1.jpg,Mujhe to kuch aur hi laga,1,1,0,0
2018_NM_pic.jpg,Teacher tum kal school kyu nhi aaye the Me kyu kal jo aaye the wO collector ban gye kya!,0,0,0,0
615_NM_pic.jpg,When Srikant is going for a dangerous mission but you have plans with Arvind #MemeTheFamilyMan Tu jaaa,0,0,0,0
775_M_pic_1.jpg,Web series aisi banao ki sab hila hila ke pagal ho jaye,1,1,0,0
995_NM_pic.jpg,Ritesh kumar @imritesh kr Nothing just me removing १रे coin from the invelope* Me*,0,0,0,0
1036_M_pic_3.jpg,,1,0,0,1
352_NM_pic.jpg,Cush* mr deem6g Yaha kahe aaye lo?? Me* New yearwish kane aaye bal aun karke jayenge,0,0,0,0
1982_NM_pic.jpg,Kohli and Naveen CGambhir,0,0,0,0
1341_M_pic_2.jpg,ShaCasm @MehaiShadan When When mela Suniye ji Babu make Make Dinner Dinner,1,0,1,0
1002_M_pic_12.jpg,दोनों डोज एक साथ लेने के बाद भाई के जलवे,1,1,1,0
301_NM_pic.jpg,Jabtak me single hoon Wo meri hai ye meri hai lum Wo bhi meri hai Ye bhi meri hai kya padh,0,0,0,0
2158_NM_pic.jpg,Thank God!!,0,0,0,0
2267_NM_pic.jpg,SNAKE LARVA SPIDER INJOMIMIS Main karu to saala character dheela hai,0,0,0,0
1336_NM_pic.jpg,Girlis In SummerrSeason @thesciollel,0,0,0,0
1710_NM_pic.jpg,Ab or kya chahiye? chahiye to group Ki admin,0,0,0,0
762_NM_pic.jpg,"""mistakes make you stronger me after finishing my maths exam:",0,0,0,0
434_NM_pic.jpg,Shweta : aur pata hai wo ladka pandit hai Video khatam* Le me* (wondering aage kya hua hoga) OHaste raho,0,0,0,0
558_NM_pic.jpg,My friend after watching my new pen ODORSUVODILMLS Ee Wala Ek Thu Aur Hai Ka,0,0,0,0
2485_NM_pic.jpg,Ku kya masla hai us ky sath,0,0,0,0
1010_M_pic_2.jpg,,1,0,1,0
1843_NM_pic.jpg,,0,0,0,0
1304_M_pic_2.jpg,Jaldi se bartan dho leti hoon Phir Facebook par jaake attitude bhi to dikhani hai,1,0,1,0
549_NM_pic.jpg,Radhe In Radhe In Tere Naam RADHE,0,0,0,0
2169_NM_pic.jpg,Bhaiyaa. aapko १8 Rupaye Paytm kiye hai HEHE CEYTRAL Omahaveer2407,0,0,0,0
139_M_pic_1.jpg,Jaadu beta kya khaoge Ohoop? Choooo,1,1,0,0
1344_NM_pic.jpg,Ohh god 0 Sourabh meOo7 Bs ek memer girl se setting kara de,0,0,0,0
505_M_pic_1.jpg,Bohot zor se Chocolate khaane ka mann ho raha hai Adult book,1,1,0,0
1966_NM_pic.jpg,एक बात पूछनी थी क्या लड़कियां भी लड़र्को को लाइन मारती हे....,0,0,0,0
150_M_pic_1.jpg,isne b apne ghutne tek diye ab pakega ye badam,1,1,0,0
144_NM_pic.jpg,Maf Cmhari life me wapas aana chahti hun Me : Gaaliyan mणhsesunogi yaa apne dosto ko bhi bulau.,0,0,0,0
1800_NM_pic.jpg,"""Expectations और +Reality एक साथ एक ही फ्रेम मे देखी",0,0,0,0
832_NM_pic.jpg,Salman: Aur Bhai Kesa Hai? Abhishek: Bas Bhai Aish Hai TH3,0,0,0,0
2209_NM_pic.jpg,आज 8 बजे मुझे वहां जाना है| @fun&funny आप भी ना....हद करते होl ठीक से चला जाता नही ओर लगाने की पड़ी हे.!! @fun&funny रेस,0,0,0,0
990_M_pic_1.jpg,"यदि आपको सबसे पहले संत दिखे है न दोस्त, तो स्वर्ग में आप मेरे पडोसी होंगे... !",1,1,0,0
372_M_pic_1.jpg,"She Planning to go Cinema Hall, Yov a Trimmer , She : Ye kyun kharide ?? Ee toh Pyaar hail humatap buy",1,1,0,0
2545_M_pic_3.jpg,Mujhe Boyfriend chahye Please apne bestfriend se baat karwa do,1,0,0,1
932_M_pic_2.jpg,आपका एक्सीडेंट हुआ है कैसा लग रहा है.? बहुत अच्छा लग रहा है सोचा आज कुछ तूफानी करते हैं1 adityamishra2358 Mishra @Aditya,1,0,1,0
677_M_pic_12.jpg,Har baar free mein thodi Gadgets dunga,1,1,1,0
802_M_pic_1.jpg,एक मेहनती महिला गर्मी में पंखे की हवा लेते हुए,1,1,0,0
24_NM_pic.jpg,When your best friend doesn't invite you for chocolates distribution in class 9 ५lo me : Tujhe yaad na meri aayi kisi se ab kya kehna,0,0,0,0
2447_M_pic_12.jpg,WHEN JOU SA५ AAJ BINA PROTECTION KARENGE JUNIOR SENIOR,1,1,1,0
1557_M_pic_23.jpg,Amcad How boys How girls Cry Cry,1,0,1,1
786_NM_pic.jpg,Ohh Shit. @The Memer Boy45 School Se Bina Laddoo Aur Bundi Ke Aa Gya,0,0,0,0
2487_NM_pic.jpg,Lagta hai kuch iyada hi mature ho gaya hu Koi bhi cheez nahi aa rahi aaikal pasand,0,0,0,0
2367_NM_pic.jpg,Tum bho single kyu na hum chupke se mingle hojanye hihihl. ho,0,0,0,0
769_NM_pic.jpg,Bhordke Maine Pehle hi bol Diya tha Jo ball Nalla mai Girayega Wahi Uthaveqa BYJJ'$,0,0,0,0
992_NM_pic.jpg,0 Marna hai kya Bsdk? Marna hai...? Terko Dar nai lagta ?,0,0,0,0
366_NM_pic.jpg,Uadaळ Cancer botatbeapbach bhjaat epko,0,0,0,0
624_M_pic_1.jpg,Mujhe PRUळ me aaya Mef dancing Gar Achchhaa.. ळe thi...,1,1,0,0
2007_NM_pic.jpg,kunal posted his shittt video on CARRYMINATI *Hiscareer RN,0,0,0,0
1597_NM_pic.jpg,क्या देख रहेहो सो जाओ अब रात हाे गयी है Good Night,0,0,0,0
440_NM_pic.jpg,Teacher : Chand kitne durr hai ? Me : Sir Seven Bench Aage Me ७th bench girl,0,0,0,0
2216_M_pic_10.jpg,,1,1,0,0
1598_M_pic_3.jpg,,1,0,0,1
715_M_pic_1.jpg,Figure aisa maintain karo ki aajkal ki ladkiya sharma jaye Ig/@ jeejaji,1,1,0,0
277_M_pic_30.jpg,Girls In Snapchat Girls In Real Life wazisaimshion,1,0,0,1
2162_NM_pic.jpg,"Monisha beta ""specs bola karo HEHE CENTRAL Chasma is just too middle class @ bonghomie_",0,0,0,0
655_NM_pic.jpg,"vel Ek baat batao, tumra koi pench dheela hai kaa",0,0,0,0
912_NM_pic.jpg,Everybody sab ke sab nashedi hain,0,0,0,0
1344_M_pic_12.jpg,Mai tumhe dilnahi de sakti Mai itne upar ki soch bhi nhi raha :CK Matlab..?,1,1,1,0
1581_M_pic_1.jpg,UINDU cLG GY BHAAG GYA,1,1,0,0
302_NM_pic.jpg,Oh pata nahi ji kaun sa nasha karta hai @AdiManavXD Yaar mera har ek se wafa karta hai Kade ais te Kade oss phull te Yaar mera titliaan warga phull,0,0,0,0
1895_NM_pic.jpg,पहली बार किसी भारतीय महिला खिलाड़ी ने जेवलिन में जीता गोल्ड,0,0,0,0
1937_NM_pic.jpg,याद आया या भूल गए,0,0,0,0
1114_NM_pic.jpg,Boys Shopping for Holi Girls Shopping For Holi Io @oMicialiis,0,0,0,0
1951_NM_pic.jpg,"लमत Try ""t",0,0,0,0
1719_NM_pic.jpg,"* Seema Aye ji Gaali derhi hai NEME CEUIRIL Sachin Kaa bol rahi hai ? Lappu Sa Sachin, jheengur sa ladka",0,0,0,0
1233_NM_pic.jpg,@toxic memez 999 Tere ne katora cut kmekobolaba baap,0,0,0,0
2451_NM_pic.jpg,Reporter Who Kllled Your Brother ?,0,0,0,0
1410_NM_pic.jpg,Pak-India India-Pak merajalam_71 Perfectly balanced,0,0,0,0
785_M_pic_1.jpg,Parents Humari Befi College Padhne Gayi Hai.. ! Le Befi In College,1,1,0,0
2121_M_pic_1.jpg,Yeh konsi hai jaha pure milk milta hai?? Gf : dairy,1,1,0,0
2350_M_pic_1.jpg,Dil keh raha hai ki iski Aankho ki Gehrai me doob jau @Doublemean @Doublemeaning in,1,1,0,0
2481_M_pic_23.jpg,*Fake feminisis Mummy ji ioilet ? MemeR Dhaenanjaey @Memerladka Jumhe Uski Kya ZaruatBeta,1,0,1,1
1406_M_pic_1.jpg,Ladkiya chote Baal me bhi Achchi lagti hai @Doublemean @Doublemeaning in,1,1,0,0
410_NM_pic.jpg,"Others At Night : Jaanu, Banu, Lifeline, Pipeline Me At Night : Ye Pankha Mere Uper Gir Gaya To Mera Kya Hoga?",0,0,0,0
1909_NM_pic.jpg,"पापा से Pitne के बाद जब मॉ कहे, चल खाना खा लेI",0,0,0,0
2243_M_pic_12.jpg,Mummy: Iski zuban bahut tej chalti hai Pados wali bhabi,1,1,1,0
1676_M_pic_3.jpg,Partपheboa kisne.. IG /wani _memerg9 ४,1,0,0,1
1307_M_pic_1.jpg,Zaalima Coca -Cola pila de shibu OK,1,1,0,0
1750_NM_pic.jpg,फूलऔर तितली में रिश्ता ह्रो ही जाता है॰,0,0,0,0
2323_M_pic_1.jpg,f@ooublemean 0 @Doublemeaning n Blagwan sabkoclla de,1,1,0,0
2515_M_pic_1.jpg,INFRONT OF DAD INGRONT OFISTEPDAD,1,1,0,0
2074_M_pic_1.jpg,while playing PUBG me Wo saamne wale ghar me koi nahi hai...wahi chal ke pelte hai... my padosan,1,1,0,0
2374_M_pic_1.jpg,He - You Are Virgin She Aj Tak Sirt Speed Breaker Par Hi Jathke Khaye Ha,1,1,0,0
2510_NM_pic.jpg,"ऐसा पुतला यदि रावण आज देखता तो, अपने आप को खुद आग के हवाले कर देता.. !  _",0,0,0,0
867_M_pic_2.jpg,आने वाले समय मे आजकल लड़किर्यों का बुढ़ापा कुछ इस तरह कटेगा,1,0,1,0
2554_M_pic_2.jpg,"Hemex Mera pati, love you boyfrfend dono hai फlackmamexinsta Daromatdono ko Thik hai love kuch pta nhi chalega you bbu",1,0,1,0
1570_NM_pic.jpg,Dil dogi ya number,0,0,0,0
4_NM_pic.jpg,my friend mera beta,0,0,0,0
1554_NM_pic.jpg,मुझे प्यारी सी FRIEND चाहिए बने तो Hiii वरना bye,0,0,0,0
566_M_pic_2.jpg,"Girls afler 15 minvtes of relationship Bike Slow Chalaya Karo, tumhe kuch ho gaya toh mera kya hoga.",1,0,1,0
1246_NM_pic.jpg,Dekh raha hai Binod India Wale kaise jaan bujh kar runout catches miss kar rhe hain,0,0,0,0
1872_M_pic_2.jpg,On BFs crores of money After being caught,1,0,1,0
437_NM_pic.jpg,Main aaj bhi @devilboysunl २०० rupey mein bik jaata hu,0,0,0,0
1859_NM_pic.jpg,बहुत हुआ अब अत्याचार| अपनी सुरक्षा अब अपने हाथ|,0,0,0,0
874_M_pic_1.jpg,Ab dono zimmedariyan bad gayi hai MEME Then Now,1,1,0,0
1843_M_pic_10.jpg,Them : It's not that Hot outside. Outside*,1,1,0,0
1310_NM_pic.jpg,ये हे २१ वीं सदी का अब कुछ जलनखोर इसे photoshop कहेंगे बाहुबली,0,0,0,0
1912_NM_pic.jpg,लड़की वालों ने फोटो मांगा था बंदे के पास कोट नहीं था लेकिन दोस्त तो थे,0,0,0,0
757_M_pic_1.jpg,Kya Fayda Itni Khubsurati ka Jab Aapka Chehra Hi Na Dekhe. Log,1,1,0,0
2015_NM_pic.jpg,After Lockdown Reporterः konsi school se ho? Me : Aap,0,0,0,0
487_NM_pic.jpg,People: money can t happiness *Me when i find १० rupees on road alishpoudel buy,0,0,0,0
2052_M_pic_1.jpg,Sale tharki yaha bhi ruk gya Abe ye carloon hai isko Ioh Chhod de,1,1,0,0
82_NM_pic.jpg,When ask my mom t0 a Mom: UJ Mere liye tum kaafi ho buy dog,0,0,0,0
56_NM_pic.jpg,By Himashu *Birthday month exists* My friends with my ugly pics Tosabkodikhanapadega na,0,0,0,0
2155_M_pic_2.jpg,"शादी के बाद लड़की को खाना बनाना ना आने पर सास कहेगी कलमुँही, लॉकडाउन के दिनों में",1,0,1,0
630_M_pic_1.jpg,Desi OyO,1,1,0,0
276_M_pic_20.jpg,Power Of Money,1,0,1,0
1708_M_pic_30.jpg,Curly hair goals Expeciations Reality,1,0,0,1
699_M_pic_1.jpg,Life ki har problems ko us hi tarah Ignore karo jis tarah is ladke ko ignore kiya,1,1,0,0
243_NM_pic.jpg,When 0 girl talking in english Chhapri Nibba Samajh nahi aaya Par sun ke adhha laga,0,0,0,0
2221_NM_pic.jpg,"Whenever | start A game in Pubg ""welcome to pubg mobile"" Gudguda Ha...ha malum hai chal..baap ko mat sikha. Jokes",0,0,0,0
2508_M_pic_12.jpg,Abba mujhe Rajasthan jana hai.,1,1,1,0
1250_M_pic_2.jpg,"Didi restaurant mein sabke samne १००२ , २००२ ki Tip rakhegi aur gharpe delivery boy se free pizza ke jhagdegi aisa kaisa chalega didi",1,0,1,0
1278_NM_pic.jpg,जेसा,0,0,0,0
422_M_pic_2.jpg,"Ghar par kol nahi hai, aa jao maणj karenge Abhi toh tere ghar se aaya bon Ohh sorry tumhe hi phone gaya lag",1,0,1,0
1471_NM_pic.jpg,एक विवाहहीन प्रेम यदि पाप है तो एक प्रेमहीन दाम्पत्य कैसे पवित्र हुआ.,0,0,0,0
915_M_pic_23.jpg,Aponi Cute Si Look Ka Maa Behen Karna Koi Inse Sikhe,1,0,1,1
350_NM_pic.jpg,Technique hi galat hai tumhar,0,0,0,0
186_M_pic_1.jpg,कोई बताएगा इस घर में प्लास्टर क्यों नहीं है,1,1,0,0
1522_M_pic_2.jpg,Babu tum mujhe agle janam me bhi pyar karoge naa? Han babu agle saat janmo tak Fir thik hai hum agle janam me milte hain is janam me papa nahi maan rahe,1,0,1,0
1206_NM_pic.jpg,Mai kyu guests ke liye chai banau or paani du basbhuthvo mai to boiz hoon,0,0,0,0
